fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	force_row_wise	seed	learning_rate	lambda_l1	lambda_l2	min_gain_to_split	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20240520 203638	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	100	TRUE	445679	0.20677809180037	0.364190259933821	7.40251473158423	0.505422753405583	0.264359833981143	7840	426	13765	57225000	31
20240520 203714	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	36	TRUE	445679	0.148161325462934	7.25308841712831	5.1985023416637	0.582320228262688	0.465144609787967	27	830	9945	59325000	32
20240520 203920	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	128	TRUE	445679	0.0526039476307561	0.71116348764512	7.41330456192214	0.17300790161712	0.632975470834854	5	612	10206	60705000	33
20240520 204042	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	103	TRUE	445679	0.1218484245682	0.0461909239512283	7.68643633251856	0.478715667803688	0.623970243279852	267	880	10725	60105000	34
20240520 204255	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	529	TRUE	445679	0.0472532361123527	0.555601627974636	6.35387746600689	0.0341502038797572	0.706246429386401	4390	447	11693	60450000	35
20240520 204856	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	995	TRUE	445679	0.0101699389975621	2.79216084684279	9.61079814132809	0.231021150300876	0.604358776192991	1052	743	9966	60945000	36
20240520 205519	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	762	TRUE	445679	0.0100546613062952	2.38393034589687	4.4214538012669	0.231515498503999	0.663461245969807	1579	740	10506	59445000	37
20240520 205644	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	111	TRUE	445679	0.0596027635705925	0.911651822903502	9.99076328457661	0.0827843365642953	0.607190354056951	694	467	9807	60465000	38
20240520 205920	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	483	TRUE	445679	0.0399598091462868	0.84688659084688	9.993181947311	0.335748287184775	0.623440288738452	2420	583	12123	59760000	39
20240520 210037	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	73	TRUE	445679	0.0590972617159629	3.39843801659968	9.20518233333572	0.307502961020014	0.394618913410145	2	750	9982	58860000	40
20240520 210743	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	886	TRUE	445679	0.0104617749213309	0.601305755082649	8.92554292871488	0.299887995377837	0.698461783358884	764	544	9875	60855000	41
20240520 211359	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1162	TRUE	445679	0.0147252197140248	0.756750866378659	9.37840786956322	0.197592726041679	0.606732050249642	4303	330	10228	59565000	42
20240520 211906	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	604	TRUE	445679	0.0107366255810957	0.59752925248253	9.48580987600203	0.484568535595265	0.605012224401739	5	710	9457	60555000	43
20240520 212222	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	437	TRUE	445679	0.0182616029551213	2.10698271657029	9.95989103538252	0.149542368407359	0.778239492483374	237	805	9965	60705000	44
20240520 212421	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	264	TRUE	445679	0.0135738904934796	3.971998359351	9.50976099050222	0.950287587785673	0.627477096231947	350	595	9995	58215000	45
20240520 212505	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	56	TRUE	445679	0.14928803225686	0.0101890923234319	6.38203180636844	0.426559691283107	0.57102348144328	551	455	11195	59895000	46
20240520 212757	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	339	TRUE	445679	0.0272695331679621	1.66678284846533	8.27509600868014	0.160024178430587	0.648741695991743	395	836	9299	61035000	47
20240520 213449	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1024	TRUE	445679	0.0142153972225382	0.636938046261084	9.60316920793447	0.158767908191634	0.66326012734439	1043	853	9658	61155000	48
20240520 213700	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	245	TRUE	445679	0.121363880859735	0.0446460558324518	8.05698096164609	0.000945381430349647	0.721125136949955	7291	843	12114	59310000	49
20240520 213826	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	274	TRUE	445679	0.0440611728605103	2.09138338598531	9.31179383592999	0.251279545187615	0.682483310775239	1196	853	9668	60645000	50
20240520 214332	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	324	TRUE	445679	0.0145279794463159	1.86684980908089	8.87187793520136	0.00597435811071744	0.593267455864528	9	361	9265	60165000	51
20240520 214442	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	172	TRUE	445679	0.073779876438796	0.0647773918019665	8.22859529808305	0.0477344883999228	0.936847634936905	961	488	11507	61485000	52
20240520 215018	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	712	TRUE	445679	0.0146072225620375	0.00896657220575216	8.58968020506796	0.284088712784769	0.974080255417794	301	375	11232	61110000	53
20240520 215148	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	143	TRUE	445679	0.0741856446702575	0.170205304758025	8.41265995415517	0.0944468529941539	0.964143050402623	517	494	9918	60015000	54
20240520 215403	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	390	TRUE	445679	0.034955029648821	0.00117653929443685	8.60839038644757	0.253074283026438	0.921890860349775	2170	505	11704	60060000	55
20240520 215944	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	805	TRUE	445679	0.0173291424491746	1.86307458905169	9.72261092145044	0.0133368371646184	0.914455859944999	194	114	11495	61995000	56
20240520 220150	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	53	TRUE	445679	0.172634847029108	0.268769785356274	8.62486139553734	0.00128284259893305	0.998457504310367	353	141	11883	60120000	57
20240520 220628	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	458	TRUE	445679	0.0119526039109347	6.1334516974901	8.78273399998761	0.0158406062303182	0.998549043811992	79	85	11467	61365000	58
