fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	force_row_wise	seed	learning_rate	lambda_l1	lambda_l2	min_gain_to_split	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20240521 010737	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	649	TRUE	445679	0.0270810159992307	0.685795337288714	9.35855560204834	0.000807643531432797	0.680616219778	3604	40	13112	60030000	132
20240521 011126	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	346	TRUE	445679	0.0254439298300115	3.7465612698732	8.37705445250054	0.0148718744228942	0.55670880046039	49	999	9969	61185000	133
20240521 011209	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	125	TRUE	445679	0.268512654137831	8.17747907668004	9.75717612731772	0.0278468832067154	0.20060398558646	4111	940	10580	58620000	134
20240521 011244	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	84	TRUE	445679	0.297508185241171	0.143209329765721	9.592326170797	0.242707408463137	0.200187548078581	4778	233	12054	58410000	135
20240521 011801	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	506	TRUE	445679	0.0246800963665535	0.0376773772771259	6.6632790517158	0.0362187476205221	0.588066658602105	71	1009	9849	60225000	136
20240521 011906	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	112	TRUE	445679	0.104409739018294	5.11666773070526	9.26568334860182	0.0928773311474311	0.557317011597997	14	890	10076	59055000	137
20240521 012003	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	165	TRUE	445679	0.0775572634257726	4.03289256656777	0.36152417590063	0.0908400173938534	0.999995102559252	1511	776	11678	59655000	138
20240521 012045	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	123	TRUE	445679	0.086320070843745	0.235136537950483	9.70964783607072	0.650484499396265	0.999104884008348	380	104	11621	59460000	139
20240521 012152	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	193	TRUE	445679	0.299694255452141	1.66588842611397	9.65905998549842	0.00223612548905179	0.497814930042939	7102	909	12727	58665000	140
20240521 012216	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	68	TRUE	445679	0.140709944177025	2.0409797896258	6.87421410218498	0.961094093474368	0.633623922356451	61	564	10044	57600000	141
20240521 012500	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	474	TRUE	445679	0.0379372165275974	3.76878929360667	9.69627971444966	0.000108392392185865	0.582224077890903	1980	796	10713	60750000	142
20240521 012534	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	53	TRUE	445679	0.140329029134726	9.97711757452799	8.41154714726301	0.521683810426763	0.538154355210438	670	18	11489	57945000	143
20240521 012619	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	78	TRUE	445679	0.270222478828785	0.128422537545813	8.59010985230594	0.0481842386154602	0.362058750995352	1030	561	10402	58080000	144
20240521 012635	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	22	TRUE	445679	0.299621055275456	0.270678780690301	1.57478488225568	0.0700644621864992	0.714089732990115	7158	793	11516	57375000	145
20240521 012659	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	48	TRUE	445679	0.21993335573799	0.760446451076568	7.24388462929618	0.00249929222655307	0.993412468363458	4036	944	13548	58605000	146
20240521 012843	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	298	TRUE	445679	0.0417063977336698	0.647708338055964	3.18135318786941	0.781252005514706	0.310563404327031	4108	16	14995	57495000	147
20240521 012916	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	64	TRUE	445679	0.144201644003834	4.79556588364079	9.31799640344964	0.227380803634299	0.996253170468334	264	902	10340	59940000	148
20240521 012935	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	54	TRUE	445679	0.213753350720135	5.9120457692022	9.9884824850251	0.445510784682469	0.714181962761744	2453	628	12167	57945000	149
20240521 013354	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	723	TRUE	445679	0.0116145491510611	2.3134330884765	8.18252979345384	0.0412423172665891	0.887403437282765	456	60	11453	60690000	150
20240521 013600	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	244	TRUE	445679	0.0268084252637107	0.00748880112361667	2.083618372534	0.00413730709261552	0.99908133096427	792	385	12312	60990000	151
20240521 013647	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	104	TRUE	445679	0.113858375117088	1.38833350997153	3.51109462409682
